path_prefix,signal_type,signal_role,influx_path,tag_name_resolved,tag_description_resolved,level2_name,level3_name,functional_role,semantic_var,Opis (Znaczenie fizyczne),alarm_konfig_status,score_l2,score_l3
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnFirstProbe,VOut,SP,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnFirstProbe/VOut/Actual,VALEnFirstProbe,First probe alarm low,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe,VFbk,PV,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe/VFbk/Actual,VALEnSecondProbe,Second probe alarm low,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe,VMan,Manual,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe/VMan/Actual,VALEnSecondProbe,Second probe alarm low,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe,VOut,SP,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnSecondProbe/VOut/Actual,VALEnSecondProbe,Second probe alarm low,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe,VFbk,PV,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe/VFbk/Actual,VALEnThirdProbe,Third probe alarm low,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe,VMan,Manual,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe/VMan/Actual,VALEnThirdProbe,Third probe alarm low,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe,VOut,SP,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/VALEnThirdProbe/VOut/Actual,VALEnThirdProbe,Third probe alarm low,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementFirstProbe,V,Value,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementFirstProbe/V/Actual,measurementFirstProbe,Probe - not connected,Output/TransportO2_01/o_DO_mod,oxygentransport/out_oxygentransport_do_mgl,dissolved oxygen / kLa,do_value,Model tlenu rozpuszczonego (mg/L).,TAK,1.0,1.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementSecondProbe,V,Value,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementSecondProbe/V/Actual,measurementSecondProbe,Probe - not connected,,,,,,TAK,0.0,0.0
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementThirdProbe,V,Value,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/measurementThirdProbe/V/Actual,measurementThirdProbe,Probe - not connected,,,,,,TAK,0.0,0.0
