influx_path,level2_name,level3_name
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VMan/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VMan/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VMan/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VMan/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VMan/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/V/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VFbk/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VMan/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VOut/Actual,,
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/valveDrive/V/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/coefficient/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/current/V/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VFbk/Actual,Output/Pompa_01/o_Flow_Fbk,peristalticpump/out_peristalticpump_speed_rpm
